Country,Total
China,3925
India,1740
United States,1574
Brazil,561
South Korea,344
Spain,296
Iran,451
Thailand,2997
Canada,333
Ireland,72
Portugal,154
Germany,429
Romania,43
Malaysia,605
Indonesia,532
Turkey,245
Brunei Darussalam,10
Japan,516
Australia,532
United Arab Emirates,32
Russia,203
United Kingdom,533
Myanmar,27
Poland,161
Hong Kong,97
Saudi Arabia,225
Egypt,244
Italy,277
New Zealand,50
Ethiopia,33
Philippines,74
Viet Nam,265
Switzerland,78
France,359
Netherlands,118
Singapore,94
Norway,36
Denmark,40
Pakistan,162
Finland,39
Bangladesh,81
Jordan,13
Ghana,14
Mexico,135
South Africa,71
Bahrain,6
Taiwan,171
Peru,26
Austria,106
Czech Republic,88
Iraq,60
Algeria,47
Belgium,88
Greece,42
Colombia,60
Israel,14
Serbia,19
Croatia,20
Bosnia and Herzegovina,7
Nigeria,78
Argentina,52
Morocco,14
Chile,42
Lebanon,13
Tunisia,25
Sweden,58
Hungary,30
Nepal,10
Ecuador,19
Cambodia,36
Laos,25
Senegal,10
Macao,3
Qatar,7
Botswana,3
Guinea,1
Cameroon,15
Afghanistan,9
Bulgaria,11
Azerbaijan,5
Kenya,16
Kazakhstan,19
Estonia,7
Sri Lanka,12
Oman,5
Cyprus,11
Iceland,4
Congo,4
Cape Verde,1
Fiji,2
Syrian Arab Republic,2
Luxembourg,5
Belarus,5
Slovenia,13
Albania,5
Ukraine,32
Uzbekistan,2
Tanzania,12
Costa Rica,2
Yemen,2
Zambia,3
Lithuania,11
Cuba,8
Namibia,3
Kuwait,3
Panama,10
Burkina Faso,3
Bhutan,3
Nicaragua,1
Benin,4
"""Cote dIvoire",5
Malawi,1
Slovakia,8
Latvia,4
Gabon,2
Papua New Guinea,3
Grenada,1
Palestine,3
Zimbabwe,3
Mozambique,3
Sudan,3
Undefined,9
Madagascar,3
Armenia,1
Uganda,1
Guyana,1
Venezuela,2
Mongolia,1
Honduras,1
Democratic Republic Congo,1
Puerto Rico,2
Niger,2
Solomon Islands,1
Cayman Islands,1
Libya,1
Guatemala,2
Georgia,2
North Macedonia,1
